rid,id,text,term,from,to,category,polarity
1506491,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",NULL,0,0,FOOD#QUALITY,positive
1506491,1506491:2,Check out the secret back room.,back room,21,30,AMBIENCE#GENERAL,positive
1506491,1506491:4,I pray it stays open forever.,NULL,0,0,RESTAURANT#GENERAL,positive
1506491,1506491:5,Thank You Emilio.,Emilio,10,16,RESTAURANT#GENERAL,positive
1538149,1538149:0,"I found the food, service and value exceptional everytime I have been there.",food,12,16,FOOD#QUALITY,positive
1538149,1538149:0,"I found the food, service and value exceptional everytime I have been there.",service,18,25,SERVICE#GENERAL,positive
1538149,1538149:0,"I found the food, service and value exceptional everytime I have been there.",NULL,0,0,RESTAURANT#PRICES,positive
1538149,1538149:1,The food was authentic.,food,4,8,FOOD#QUALITY,positive
1538149,1538149:2,I felt as though I were eating in Paris.,NULL,0,0,FOOD#QUALITY,positive
1538149,1538149:3,The service was excellent - friendly and attentive.,service,4,11,SERVICE#GENERAL,positive
1538149,1538149:4,The prices are wonderfully low.,NULL,0,0,RESTAURANT#PRICES,positive
1538149,1538149:5,Very good wine choices.,wine choices,10,22,DRINKS#STYLE_OPTIONS,positive
1543345,1543345:1,Who has room for Cheesesticks with the best pizza in NYC!,pizza,44,49,FOOD#QUALITY,positive
1543345,1543345:2,Get the pepperoni - YUM - and a family style salad.,pepperoni,8,17,FOOD#QUALITY,positive
1543345,1543345:2,Get the pepperoni - YUM - and a family style salad.,family style salad,32,50,FOOD#QUALITY,positive
1543345,1543345:3,Great staff.,staff,6,11,SERVICE#GENERAL,positive
1543345,1543345:4,Always great service!,service,13,20,SERVICE#GENERAL,positive
1543345,1543345:5,I go twice a month!,NULL,0,0,RESTAURANT#GENERAL,positive
1543345,1543345:6,Fantastic!,NULL,0,0,RESTAURANT#GENERAL,positive
1561259,1561259:0,"The food is good, I can't lie.",food,4,8,FOOD#QUALITY,positive
1561259,1561259:1,But the staff was so horrible to us.,staff,8,13,SERVICE#GENERAL,negative
1561259,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,4,11,SERVICE#GENERAL,negative
1561259,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,20,28,SERVICE#GENERAL,negative
1561259,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,40,48,SERVICE#GENERAL,negative
1561259,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",place,5,10,RESTAURANT#PRICES,negative
1561259,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",food,35,39,FOOD#QUALITY,positive
1561259,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",service,61,68,SERVICE#GENERAL,negative
1561259,1561259:5,Save yourself the time and trouble and skip this one!,NULL,0,0,RESTAURANT#GENERAL,negative
1572027,1572027:1,Amma is nothing special.,Amma,0,4,RESTAURANT#GENERAL,neutral
1572027,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,dishes,37,43,FOOD#QUALITY,negative
1572027,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,dishes,37,43,FOOD#PRICES,negative
1572027,1572027:4,Will not be back.,NULL,0,0,RESTAURANT#GENERAL,negative
1572033,1572033:0,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",vegetarian dishes,31,48,FOOD#QUALITY,negative
1572033,1572033:0,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",non-veg selections,89,107,FOOD#QUALITY,positive
1572033,1572033:1,Decor is nice though service can be spotty.,Decor,0,5,AMBIENCE#GENERAL,positive
1572033,1572033:1,Decor is nice though service can be spotty.,service,21,28,SERVICE#GENERAL,negative
1572033,1572033:2,This place is always packed.,place,5,10,RESTAURANT#MISCELLANEOUS,neutral
1572033,1572033:4,"Most importantly, food is excellent.",food,18,22,FOOD#QUALITY,positive
1572033,1572033:5,Try the sea bass.,sea bass,8,16,FOOD#QUALITY,positive
1572033,1572033:6,Highly recommended.,NULL,0,0,RESTAURANT#GENERAL,positive
1573534,1573534:0,First of all Dal Bukhara Rocks.,Dal Bukhara,13,24,FOOD#QUALITY,positive
1573534,1573534:3,I am happy i did the food was awsome.,food,21,25,FOOD#QUALITY,positive
1573534,1573534:4,JUST AWSOME.,NULL,0,0,FOOD#QUALITY,positive
1573534,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,54,60,FOOD#QUALITY,positive
1573534,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,8,19,FOOD#QUALITY,positive
1573534,1573534:7,but overall i give it a 10,NULL,0,0,RESTAURANT#GENERAL,positive
1573534,1573534:8,10,NULL,0,0,RESTAURANT#GENERAL,positive
1577714,1577714:1,Haru on Park S is simply disgusting.,Haru on Park S,0,14,RESTAURANT#GENERAL,negative
1577714,1577714:2,The fish was not fresh and the rice tasted old and stale.,fish,4,8,FOOD#QUALITY,negative
1577714,1577714:2,The fish was not fresh and the rice tasted old and stale.,rice,31,35,FOOD#QUALITY,negative
1577714,1577714:3,"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,41,46,FOOD#QUALITY,negative
1577714,1577714:4,Will never be back.,NULL,0,0,RESTAURANT#GENERAL,negative
1586174,1586174:0,honestly the worst sushi my husband and i had in our entire lives.,sushi,19,24,FOOD#QUALITY,negative
1586174,1586174:2,not sure why this restaurant would be rated that highly.,restaurant,18,28,RESTAURANT#GENERAL,negative
1586174,1586174:3,the all-u-can-eat sushi is definitely in very poor quality.,all-u-can-eat sushi,4,23,FOOD#QUALITY,negative
1586174,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",menu,8,12,FOOD#STYLE_OPTIONS,negative
1586174,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",ingredients,26,37,FOOD#QUALITY,negative
1586174,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",fish,53,57,FOOD#STYLE_OPTIONS,negative
1586174,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",rice,70,74,FOOD#STYLE_OPTIONS,negative
1586174,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",soy sauce,56,65,FOOD#QUALITY,negative
1586174,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",rice,108,112,FOOD#QUALITY,negative
1586174,1586174:6,the waitstaffs are nice though.,waitstaffs,4,14,SERVICE#GENERAL,positive
1586174,1586174:7,wont come back again for sure!,NULL,0,0,RESTAURANT#GENERAL,negative
1603698,1603698:0,I have been to Roth's twice and both times were very disappointing.,Roth's,15,21,RESTAURANT#GENERAL,negative
1603698,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,48,55,SERVICE#GENERAL,negative
1603698,1603698:3,They wouldnt even let me finish my glass of wine before offering another.,NULL,0,0,SERVICE#GENERAL,negative
1603698,1603698:4,Much of the time it seems like they do not care about you.,NULL,0,0,SERVICE#GENERAL,negative
1603698,1603698:5,"The dinner was ok, nothing I would have again.",dinner,4,10,FOOD#QUALITY,negative
1603698,1603698:6,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,12,25,FOOD#QUALITY,negative
1606837,1606837:0,This was a great surprise.,NULL,0,0,RESTAURANT#GENERAL,positive
1606837,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,50,54,FOOD#QUALITY,positive
1606837,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,70,74,AMBIENCE#GENERAL,positive
1606837,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,NULL,0,0,LOCATION#GENERAL,positive
1606837,1606837:2,The service was attentive.,service,4,11,SERVICE#GENERAL,positive
1606837,1606837:3,I look forward to eating here again,NULL,0,0,RESTAURANT#GENERAL,positive
1609375,1609375:0,Planet Thai is great!,Planet Thai,0,11,RESTAURANT#GENERAL,positive
1609375,1609375:1,"We love the food, drinks, and atmosphere!",food,12,16,FOOD#QUALITY,positive
1609375,1609375:1,"We love the food, drinks, and atmosphere!",drinks,18,24,DRINKS#QUALITY,positive
1609375,1609375:1,"We love the food, drinks, and atmosphere!",atmosphere,30,40,AMBIENCE#GENERAL,positive
1609375,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,4,7,SERVICE#GENERAL,negative
1609375,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",restaurant,79,89,RESTAURANT#GENERAL,positive
1609375,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!",Pad Thai,8,16,FOOD#QUALITY,positive
1609375,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!",NULL,0,0,RESTAURANT#PRICES,positive
1609375,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,42,50,FOOD#STYLE_OPTIONS,positive
1609375,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",food,68,72,FOOD#QUALITY,positive
1609375,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",NULL,0,0,RESTAURANT#PRICES,positive
1611489,1611489:0,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",NULL,0,0,SERVICE#GENERAL,negative
1611489,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,10,20,FOOD#STYLE_OPTIONS,negative
1611489,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,10,20,FOOD#PRICES,negative
1611489,1611489:2,"Overall, not worth the money.",NULL,0,0,RESTAURANT#GENERAL,negative
1611489,1611489:2,"Overall, not worth the money.",NULL,0,0,RESTAURANT#PRICES,negative
1611489,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,15,25,AMBIENCE#GENERAL,positive
1611489,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",NULL,0,0,RESTAURANT#GENERAL,negative
1615322,1615322:1,Chennai Garden is my favorite Indian restaurant in the city.,Chennai Garden,0,14,RESTAURANT#GENERAL,positive
1615322,1615322:2,They have authentic Indian at amazin prices.,Indian,20,26,FOOD#QUALITY,positive
1615322,1615322:2,They have authentic Indian at amazin prices.,Indian,20,26,FOOD#PRICES,positive
1615322,1615322:3,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,dishes,49,55,FOOD#STYLE_OPTIONS,negative
1615322,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,4,9,AMBIENCE#GENERAL,negative
1615322,1615322:5,It's a rather cramped and busy restaurant and it closes early.,restaurant,31,41,RESTAURANT#MISCELLANEOUS,negative
1615322,1615322:5,It's a rather cramped and busy restaurant and it closes early.,restaurant,31,41,AMBIENCE#GENERAL,negative
1623276,1623276:0,Patroon features a nice cigar bar and has great staff.,cigar bar,24,33,AMBIENCE#GENERAL,positive
1623276,1623276:0,Patroon features a nice cigar bar and has great staff.,staff,48,53,SERVICE#GENERAL,positive
1623276,1623276:1,The food is tasty and portion sizes are appropriate.,food,4,8,FOOD#QUALITY,positive
1623276,1623276:1,The food is tasty and portion sizes are appropriate.,portion sizes,22,35,FOOD#STYLE_OPTIONS,positive
1623276,1623276:2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant,15,25,RESTAURANT#MISCELLANEOUS,positive
1623276,1623276:3,Not a great place for family or general dining.,place,12,17,RESTAURANT#MISCELLANEOUS,negative
1626564,1626564:0,LLOOVVE THIS PLACE.,PLACE,13,18,RESTAURANT#GENERAL,positive
1626564,1626564:1,Food is excellent.,Food,0,4,FOOD#QUALITY,positive
1626564,1626564:2,Fish is so very fresh.,Fish,0,4,FOOD#QUALITY,positive
1626564,1626564:3,Waitstaff are very friendly.,Waitstaff,0,9,SERVICE#GENERAL,positive
1626564,1626564:4,Love YUKA.,YUKA,5,9,RESTAURANT#GENERAL,positive
1632445,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,seafood,59,66,FOOD#QUALITY,positive
1632445,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,Mermaid Inn,0,11,RESTAURANT#GENERAL,positive
1632445,1632445:1,The menu is limited but almost all of the dishes are excellent.,menu,4,8,FOOD#STYLE_OPTIONS,negative
1632445,1632445:1,The menu is limited but almost all of the dishes are excellent.,dishes,42,48,FOOD#QUALITY,positive
1632445,1632445:2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,4,20,FOOD#QUALITY,positive
1632445,1632445:2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,37,71,FOOD#QUALITY,positive
1632445,1632445:3,The service is good and ambience is good for a date or group outing.,service,4,11,SERVICE#GENERAL,positive
1632445,1632445:3,The service is good and ambience is good for a date or group outing.,ambience,24,32,AMBIENCE#GENERAL,positive
1632445,1632445:4,The only fallback on this restaurant is the prices.,restaurant,26,36,RESTAURANT#PRICES,negative
1632445,1632445:5,"Even though its good seafood, the prices are too high.",seafood,21,28,FOOD#QUALITY,positive
1632445,1632445:5,"Even though its good seafood, the prices are too high.",seafood,21,28,FOOD#PRICES,negative
1632445,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,4,20,FOOD#QUALITY,positive
1632445,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,4,20,FOOD#STYLE_OPTIONS,negative
1632445,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,4,20,FOOD#PRICES,negative
1632929,1632929:2,We were very pleasantly surprised.,NULL,0,0,RESTAURANT#GENERAL,positive
1632929,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",food,4,8,FOOD#QUALITY,positive
1632929,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",halibut special,32,47,FOOD#QUALITY,positive
1632929,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",steak,64,69,FOOD#QUALITY,positive
1632929,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",service,80,87,SERVICE#GENERAL,positive
1632929,1632929:4,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,100,106,SERVICE#GENERAL,positive
1632929,1632929:5,Truly the mark of an attentive waiter.,waiter,31,37,SERVICE#GENERAL,positive
1632929,1632929:6,I highly recommend the restaurant based on our experience last night.,restaurant,23,33,RESTAURANT#GENERAL,positive
1642666,1642666:0,We ate at this Thai place following the reviews but very unhappy with the foods.,foods,74,79,FOOD#QUALITY,negative
1642666,1642666:1,We thought that this place is using too much of MSG cooking in the foods.,foods,67,72,FOOD#QUALITY,negative
1642666,1642666:3,"They don't concern much of customer's health, just want to make money.",NULL,0,0,RESTAURANT#GENERAL,negative
1642666,1642666:4,please don't fool us.,NULL,0,0,RESTAURANT#GENERAL,negative
1649025,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",jelly fish,16,26,FOOD#QUALITY,positive
1649025,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",drunken chicken,28,43,FOOD#QUALITY,positive
1649025,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",soupy dumplings,52,67,FOOD#QUALITY,positive
1649025,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",stir fry blue crab,83,101,FOOD#QUALITY,positive
1649025,1649025:2,The food is so cheap and the waiters are nice.,food,4,8,FOOD#PRICES,positive
1649025,1649025:2,The food is so cheap and the waiters are nice.,waiters,29,36,SERVICE#GENERAL,positive
1649025,1649025:3,"Of course, it is crowded but who cares.",NULL,0,0,RESTAURANT#MISCELLANEOUS,neutral
1649025,1649025:4,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,NULL,0,0,RESTAURANT#MISCELLANEOUS,positive
1655504,1655504:0,Have frequented 'ino for several years and the food remains excellent.,food,47,51,FOOD#QUALITY,positive
1655504,1655504:1,Cheese plate is a varied delight and great bargain at $10.,Cheese plate,0,12,FOOD#QUALITY,positive
1655504,1655504:1,Cheese plate is a varied delight and great bargain at $10.,Cheese plate,0,12,FOOD#STYLE_OPTIONS,positive
1655504,1655504:1,Cheese plate is a varied delight and great bargain at $10.,Cheese plate,0,12,FOOD#PRICES,positive
1655504,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,23,34,FOOD#STYLE_OPTIONS,positive
1655504,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",paninis,36,43,FOOD#STYLE_OPTIONS,positive
1655504,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,45,56,FOOD#STYLE_OPTIONS,positive
1655504,1655504:3,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","asparagus, truffle oil, parmesan bruschetta",5,48,FOOD#QUALITY,positive
1655504,1655504:4,Wine list is extensive without being over-priced.,Wine list,0,9,DRINKS#STYLE_OPTIONS,positive
1655504,1655504:4,Wine list is extensive without being over-priced.,Wine list,0,9,DRINKS#PRICES,positive
1655504,1655504:5,"Be sure to try the seasonal, and always delicious, specials.",specials,51,59,FOOD#QUALITY,positive
1655504,1655504:6,Definitely a neighborhood favorite.,NULL,0,0,RESTAURANT#GENERAL,positive
1655521,1655521:0,I loved this place!!,place,13,18,RESTAURANT#GENERAL,positive
1655521,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,50,60,AMBIENCE#GENERAL,positive
1655521,1655521:2,"The food was very good, a great deal, and the place its self was great.",food,4,8,FOOD#QUALITY,positive
1655521,1655521:2,"The food was very good, a great deal, and the place its self was great.",food,4,8,FOOD#PRICES,positive
1655521,1655521:2,"The food was very good, a great deal, and the place its self was great.",place,46,51,AMBIENCE#GENERAL,positive
1655521,1655521:3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,4,14,SERVICE#GENERAL,positive
1660047,1660047:0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people,56,62,SERVICE#GENERAL,negative
1660047,1660047:0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",Cafe Noir,7,16,RESTAURANT#GENERAL,positive
1660047,1660047:1,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,4,11,SERVICE#GENERAL,negative
1660047,1660047:2,"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,4,12,SERVICE#GENERAL,negative
1660047,1660047:3,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",manager,17,24,SERVICE#GENERAL,negative
1660047,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",waitress,30,38,SERVICE#GENERAL,negative
1660047,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",staff,82,87,SERVICE#GENERAL,negative
1660047,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",Cafe Noir,52,61,RESTAURANT#GENERAL,positive
1661043,1661043:0,Pizza here is consistently good.,Pizza,0,5,FOOD#QUALITY,positive
1661043,1661043:1,Salads are a delicious way to begin the meal.,Salads,0,6,FOOD#QUALITY,positive
1661043,1661043:2,You should pass on the calamari.,calamari,23,31,FOOD#QUALITY,negative
1661043,1661043:3,It is thick and slightly soggy.,NULL,0,0,FOOD#QUALITY,negative
1661043,1661043:4,Decor is charming.,Decor,0,5,AMBIENCE#GENERAL,positive
1661043,1661043:5,Service is average.,Service,0,7,SERVICE#GENERAL,neutral
1661757,1661757:0,What a great place.,place,13,18,RESTAURANT#GENERAL,positive
1661757,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience,4,12,AMBIENCE#GENERAL,positive
1661757,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",NULL,0,0,RESTAURANT#PRICES,positive
1661757,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",food,80,84,FOOD#QUALITY,positive
1661757,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",NULL,0,0,SERVICE#GENERAL,neutral
1661757,1661757:4,I would definitely recommend SEA if you like thai cuisine!,thai cuisine,45,57,FOOD#QUALITY,positive
1662726,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,49,65,SERVICE#GENERAL,negative
1662726,1662726:1,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",gentleman,2,11,SERVICE#GENERAL,negative
1662726,1662726:2,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ",NULL,0,0,SERVICE#GENERAL,negative
1662726,1662726:3,"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",NULL,0,0,SERVICE#GENERAL,negative
1662726,1662726:5,Never again!,NULL,0,0,RESTAURANT#GENERAL,negative
1663111,1663111:0,I absolutely Loved this place.,place,24,29,RESTAURANT#GENERAL,positive
1663111,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere,10,20,AMBIENCE#GENERAL,positive
1663111,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",dishes,32,38,FOOD#QUALITY,positive
1663111,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",service,57,64,SERVICE#GENERAL,positive
1663111,1663111:3,this is can became on e of the NY Italian Food fare institutions.,NULL,0,0,RESTAURANT#GENERAL,positive
1663111,1663111:4,I think that it is absolutely brilliant and well runned business operation.,NULL,0,0,RESTAURANT#GENERAL,positive
1663111,1663111:5,The wine list is also really nice.,wine list,4,13,DRINKS#STYLE_OPTIONS,positive
1664346,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",NULL,0,0,RESTAURANT#GENERAL,positive
1664346,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",food,26,30,FOOD#QUALITY,positive
1664346,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",drinks,32,38,DRINKS#QUALITY,positive
1664346,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",staff,40,45,SERVICE#GENERAL,positive
1664346,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",mileau,47,53,AMBIENCE#GENERAL,positive
1664346,1664346:2,I would highly recommend this place!,place,30,35,RESTAURANT#GENERAL,positive
1671113,1671113:0,I have been to Casimir over 5 times and I have always had a great time there.,Casimir,15,22,RESTAURANT#GENERAL,positive
1671113,1671113:1,The food is great and reasonably priced.,food,4,8,FOOD#QUALITY,positive
1671113,1671113:1,The food is great and reasonably priced.,food,4,8,FOOD#PRICES,positive
1671113,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,55,62,SERVICE#GENERAL,negative
1671113,1671113:3,"If the weather is nice, try to snag an outside table.",outside table,39,52,AMBIENCE#GENERAL,positive
1671113,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff,4,9,SERVICE#GENERAL,positive
1671113,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff,4,9,SERVICE#GENERAL,negative
1671113,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",unisex bathroom,65,80,AMBIENCE#GENERAL,negative
1700205,1700205:0,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,NULL,0,0,RESTAURANT#GENERAL,positive
1700205,1700205:1,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar,21,27,FOOD#QUALITY,positive
1700205,1700205:1,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",waitstaff,46,55,SERVICE#GENERAL,positive
1700205,1700205:2,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",waitstaff,82,91,SERVICE#GENERAL,positive
1700205,1700205:3,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,caviar,72,78,FOOD#QUALITY,positive
1700205,1700205:3,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,service,93,100,SERVICE#GENERAL,positive
1702257,1702257:0,Nice Family owned traditional restaurant.,restaurant,30,40,RESTAURANT#GENERAL,positive
1702257,1702257:1,Fresh ingredients and everything is made to order.,ingredients,6,17,FOOD#QUALITY,positive
1702257,1702257:1,Fresh ingredients and everything is made to order.,NULL,0,0,FOOD#QUALITY,positive
1702257,1702257:2,I was pleasantly surprised to find this gem in Hoboken.,NULL,0,0,RESTAURANT#GENERAL,positive
1702257,1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,9,14,SERVICE#GENERAL,positive
1706644,1706644:1,"I found the food to be outstanding, particulary the salmon dish I had.",food,12,16,FOOD#QUALITY,positive
1706644,1706644:1,"I found the food to be outstanding, particulary the salmon dish I had.",salmon dish,52,63,FOOD#QUALITY,positive
1706644,1706644:2,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,19,32,DRINKS#QUALITY,positive
1706644,1706644:3,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",dim sum,82,89,FOOD#QUALITY,neutral
1706644,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",back patio,18,28,AMBIENCE#GENERAL,positive
1706644,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",music,69,74,AMBIENCE#GENERAL,positive
1706644,1706644:5,"Overall, excellent restaurant!",restaurant,19,29,RESTAURANT#GENERAL,positive
1707201,1707201:1,The food was good.,food,4,8,FOOD#QUALITY,positive
1707201,1707201:2,The place was nice and calm.,place,4,9,AMBIENCE#GENERAL,positive
1707201,1707201:3,but the service was a bit slow.,service,8,15,SERVICE#GENERAL,negative
1707741,1707741:1,The buffet had a nice selection.,buffet,4,10,FOOD#STYLE_OPTIONS,positive
1707741,1707741:2,The food was average or above including some surprising tasty dishes.,food,4,8,FOOD#QUALITY,positive
1707741,1707741:2,The food was average or above including some surprising tasty dishes.,dishes,62,68,FOOD#QUALITY,positive
1707741,1707741:3,Service was also very good.,Service,0,7,SERVICE#GENERAL,positive
1707741,1707741:4,I would go back.,NULL,0,0,RESTAURANT#GENERAL,positive
1710746,1710746:0,I got an excellent piece of cheesecake and we had several other nice pastries.,cheesecake,28,38,FOOD#QUALITY,positive
1710746,1710746:0,I got an excellent piece of cheesecake and we had several other nice pastries.,pastries,69,77,FOOD#QUALITY,positive
1710746,1710746:1,"I would recommend Roxy's for that, but not for their food.",food,53,57,FOOD#QUALITY,negative
1710746,1710746:1,"I would recommend Roxy's for that, but not for their food.",NULL,0,0,FOOD#QUALITY,positive
1710746,1710746:2,My son and his girlfriend both wanted cheeseburgers and they were huge!,cheeseburgers,38,51,FOOD#STYLE_OPTIONS,neutral
